Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2011,2978,4632,1395,3812,4003,2836,1132,1854,3219,2942,2568,3108,2669,2414,2359,2389,1381,1310,3143,5125,1492,3713,1491,2199,2324,4949,1600,1442,1164,2747,1552,3154,3204,3412,2866,1267,2439,5444,2274,3452,1603,3098,1232,3206,3903,1237,1079,3539,2309,3148,2369,872,1427,3050,3248,2785,2133,3798,1288,1048,2638,2024,1304,4810,3506,3031,3361,2708,2649,4336,1795,2149,2216,1902,1983,2719,2479,1953,2041,2982,2751,2499,1649,2242,1447,782,1086,2933,1784,1667,3120,2183,2993,2194,2464,2218,2708,2328,2928,2640,2713,1024,1418,2182,1137,2335,1182,2881,2371,3540,4829,1518,628,3641,1688,1896,2144,1851,1128,1123,1795,3942,2081,2645,1774,1976,3123,1030,1123,1517,2949,2452,2202,2544,1934,3506,2237,1814,2878,1696,2640,1828,6043,4730,1675,1563,2280,3243,3166,2412,944,1942,3026,1955,2024,3036,2806,3510,3927,3189,3374,2918,3350,2464,4050,3438,1300,1459,2784,1742,1972,2038,2207,3414,1702,2339,1668,2077,1576
1/9/2011,2726,3251,1533,3566,3905,2877,1088,1529,3175,3068,2232,2011,2859,2369,2336,2487,1263,1209,3397,4929,1313,3542,1197,2067,2087,3235,1398,1293,1188,2587,1397,2754,2976,2823,2789,1365,2417,6200,2154,3125,1394,2622,1296,2677,4056,1299,1153,3369,2069,3342,2036,900,1135,2540,3044,2275,2050,3900,1200,1069,2613,1873,1372,3409,3579,3497,2976,3213,2718,3879,1912,2122,2302,1841,2404,2863,2611,1964,2285,2807,2735,2904,1642,2365,1652,863,1026,3059,1962,1753,2800,1867,2542,2186,2798,2431,1766,2322,2566,2578,2980,1103,1408,2124,1326,2312,1261,3117,2807,4054,4560,1372,667,3727,1710,2045,2055,1920,1116,1191,1558,4367,2860,2438,2032,2163,2719,1030,1258,1643,2829,2490,2331,2546,2142,2861,2280,1832,2919,1692,2680,1952,6503,5086,1795,1794,1935,3174,2882,2402,1097,2038,3208,2033,2046,2912,3051,3440,4281,3830,3034,3339,3615,2653,4252,3478,1544,1311,3047,1864,2180,2049,2268,3595,1769,2210,1651,2133,1659
1/16/2011,3089,3905,1896,4142,5071,3106,1334,1438,3152,3278,2422,2003,2847,2547,2609,3599,1524,1265,3842,6739,1373,3836,1313,2293,2141,4315,1498,1206,1349,3127,1320,2946,3218,2678,3673,1380,2959,8998,2146,3323,1235,2965,1384,3461,5132,1344,1283,4046,2058,3433,2225,1019,1198,2482,3395,2663,2372,5116,1343,1262,2868,1931,1471,2890,3905,4323,3357,3963,3158,3748,2086,2415,2669,1945,2802,3012,3381,1960,2461,2236,3121,2713,1626,2484,1816,958,1341,3268,2416,1590,3052,1814,2321,2094,3579,2573,1806,2267,2536,2545,2839,1256,1398,2487,1454,3858,1316,2994,3105,4872,5304,1315,739,3891,1716,2146,2162,1981,1023,1242,1825,4720,3597,2352,2937,2477,4348,1105,1293,1810,3156,2849,2491,2600,2186,2705,2264,1914,3244,1759,3599,2564,9471,5880,1722,1993,2044,3228,2745,2536,1140,2281,2807,2352,2187,3841,3761,5081,5492,4597,3740,4088,4278,3182,4598,4495,1503,1304,3378,2105,2286,2038,2467,3763,1985,1997,1754,2089,1921
1/23/2011,3554,4582,2559,4406,7178,3336,1737,1338,3381,3318,2507,2486,3513,3190,3308,4588,2268,1762,4231,8541,1610,3885,1529,3000,2560,4513,1780,1246,1684,3715,1275,3235,4151,2666,4786,1359,3483,11288,2304,3999,1362,4737,1860,4363,6269,1325,1583,4538,2202,3795,2606,1364,1317,2533,3818,3182,2977,6333,1767,1508,3116,2128,1910,3090,4296,4353,4018,4559,3522,3998,2382,2733,3150,2052,3430,3086,3609,1905,2730,2844,3067,2574,1646,2672,2195,1264,1629,3308,2533,1405,2898,1746,2739,1986,5347,2816,2283,2304,2187,2512,3327,1621,1402,2835,1523,4400,1362,3101,3513,6051,6300,1595,803,3758,1823,2387,2470,2024,1026,1456,1654,4381,4854,3037,3718,2848,5035,1240,1461,1908,3543,3956,2555,2697,2010,2565,2431,1950,3618,1769,3681,2684,13277,9812,1748,2537,2180,3876,3478,3212,1319,2895,3149,2995,2267,4778,4612,6011,6721,5852,4527,5125,5788,4040,5776,5437,1402,1328,3186,2248,2439,2073,2737,4767,2098,2255,1930,2292,2113
1/30/2011,3601,4336,3252,5034,7529,3526,1832,1443,3822,3144,2580,2883,3026,3580,3049,4171,2175,1738,4297,7403,2366,3706,1668,3041,2957,3822,1609,1431,1860,3163,1436,3002,4528,2450,6049,1543,3459,9615,2364,3939,1578,6674,2295,5539,6149,1378,1678,4724,2109,4193,2720,1432,1475,2331,3815,3680,2914,6066,1672,1561,3300,2124,2678,3218,4934,4811,4500,5306,4330,4021,2796,3318,3560,2314,3883,3405,3647,1967,2760,2566,3256,2930,1658,2824,2510,1462,1691,3135,2780,1340,2657,1907,2616,1844,4494,2704,2629,2262,2102,2487,3182,1828,1423,2428,1603,3625,1473,3379,3669,6708,5571,1567,895,3654,1852,2493,2944,2100,1027,1690,1496,3942,6120,4232,4284,4395,5908,1352,1787,2288,4324,3779,2618,2659,1937,2214,3212,1968,3428,1893,3025,3143,9210,9663,1786,2872,2275,3524,3972,4097,1458,4668,6736,4648,2538,5029,4979,6850,5648,6450,4710,6380,7781,5486,6398,5513,1328,1339,3266,2518,2645,2083,3031,5406,2138,1956,1947,2542,2831
2/6/2011,3784,4012,3743,6252,6410,3824,1894,1497,4058,3306,2172,2935,3346,4142,3069,4471,2405,1799,5017,7251,2365,3883,1937,3169,3132,4027,1760,1512,2298,3611,1944,3297,4793,2934,6540,1943,3924,6829,2832,4308,2085,7302,2790,5672,6122,1514,1883,4964,2624,5500,2801,1827,1686,2743,4084,3661,3106,5775,1797,1683,3677,2554,3477,3488,6346,6034,6150,5814,5704,4305,2815,3609,3424,2453,3751,3805,3847,2012,2838,3520,3559,3170,1684,2912,2859,1532,1837,3297,2593,1241,2365,1736,2239,1684,3652,2498,2368,2041,1874,2402,3102,2124,1422,2469,1651,4063,1589,4419,4003,7272,5141,1844,1099,3876,1933,2599,2726,2512,1405,1984,1588,3561,6357,5030,4774,6099,6521,1805,1732,2258,4535,3403,2933,2648,1946,2875,4065,2259,4651,2733,3173,3420,7260,7485,1795,2900,3100,3702,4460,4565,1618,5700,7896,6700,2749,4416,4888,7876,5235,6455,5448,5793,8742,6304,5729,6710,1293,1347,3356,2658,2805,2213,3420,5947,2369,2414,2208,2613,2843
2/13/2011,4077,4414,4199,6894,6815,4082,2132,1939,4304,3162,2255,3438,4940,4746,3021,4109,3000,2368,5198,7697,2906,4106,2166,3661,3839,4166,1902,1808,3448,3546,2130,3230,4578,3707,6039,2508,3800,6497,2983,4317,2449,7297,3498,6001,7592,1578,2031,5090,3137,6824,3056,1907,1942,3248,4159,3772,3234,6711,2229,1880,3941,2941,4292,4140,7003,7022,6623,6747,6397,4817,2869,3858,3457,2857,3748,4053,4193,2073,3758,3572,4127,3524,1735,2962,2797,1753,1924,3153,2734,1305,2083,1727,2124,1637,3100,2463,2976,2010,2088,2402,4115,2397,1551,2430,1657,3440,2037,4934,4357,7639,5407,1906,1448,4216,1958,3388,3683,3529,1841,2299,1518,3695,6017,4774,4477,6572,5606,3220,2079,2147,5460,3179,3149,2625,2401,3757,4143,2798,4777,3362,2801,3475,6926,6172,1891,3030,3025,3695,4985,4308,1853,6842,8750,5980,3383,4933,5126,9221,6187,5486,6897,5731,9290,6327,5341,8597,1336,1387,3635,2735,3100,2413,3525,5943,2362,2857,2711,2910,2674
2/20/2011,3565,4095,4668,5163,5613,3695,1890,1662,4288,2992,1958,2832,4824,4678,2769,3331,3157,2043,4120,6099,2940,3769,1955,3497,3842,3240,1815,2346,3476,3247,2293,2884,4562,3329,4461,3294,3389,4824,3039,4145,2156,5275,3771,4923,5612,1301,1943,4435,3099,6279,3086,2050,1776,2897,3861,3005,2937,5067,2153,1799,3462,2947,4505,4029,6811,6536,4752,7014,5544,4232,3052,3929,3525,3873,3787,3311,4529,2086,4068,3163,4036,3657,2141,2950,2869,1840,1695,2984,2489,1418,1994,1523,1965,1608,2878,2180,2353,2031,2469,2407,4807,2529,2038,2231,1672,2868,2122,4471,4050,7068,5000,1513,1572,4092,2121,3376,3644,3580,1944,2095,1467,3571,4953,3729,3753,5197,4250,3729,2437,2110,5332,2973,3370,2817,2922,3489,4115,4178,3936,3282,2486,3257,5389,5094,2039,2894,3002,3207,4806,3857,1817,5386,6891,5049,2883,3966,5532,6382,4431,4857,5622,5274,9081,6282,4869,6134,1365,1306,3382,2938,3444,2671,3372,5324,2540,2759,2865,2822,2535
2/27/2011,2980,2610,4113,3849,4480,3463,1590,1704,4133,2417,1500,1956,4780,4793,2263,2921,2690,1917,3104,4460,2250,3148,1729,3016,3644,2201,1550,2415,3414,3002,2277,2557,4500,2800,2750,2065,2610,4149,3496,3604,1938,2942,3920,3448,4042,1340,1816,3567,3550,4773,3047,2046,1610,2469,3193,2021,2521,3801,1918,1627,3164,3264,4208,3336,6049,5566,3463,6061,4426,3411,3140,3541,3410,4560,3717,2942,4690,2068,3921,3009,3947,3578,3140,2947,2981,1548,1446,2410,2099,1311,1653,1519,1607,1602,2487,1795,1758,2026,2425,2513,4914,2406,3648,1901,1668,2584,2063,3545,3168,5704,4387,1298,1601,3484,2222,3028,3298,3257,1775,1996,1371,3084,3871,2355,3070,4010,2782,3767,2349,2071,4784,3020,3686,2898,3035,3022,3637,3937,2945,3035,2133,2844,4532,4526,2516,2865,3564,2958,3855,3446,1695,4087,4813,3820,2534,3546,5452,4064,3620,4161,3905,4811,8252,6293,4433,4177,1370,1314,2850,2925,3534,2852,3238,4522,3075,3346,3342,2929,2616
3/6/2011,2482,2216,3436,4819,3891,2792,1243,1355,3611,2193,1226,1571,3833,4122,1997,2175,2191,1625,2290,3672,2060,2648,1328,2620,3485,1747,1427,1779,2518,2249,1645,2071,3684,1916,2043,2097,2115,3725,3130,2991,1392,2092,3221,2547,3209,988,1628,2983,3268,4226,2738,1818,1246,1761,2695,1564,2193,3064,1621,1255,2728,2931,3864,2485,5264,4758,3053,5259,3797,2840,3281,3448,3355,3949,3121,2488,4272,2088,3833,2660,3044,3319,3045,3080,2939,1278,1273,2187,1998,1324,1564,1349,1329,1527,2190,1444,1491,1968,2243,2300,4090,2010,4377,1756,1706,2206,1763,2864,2661,4688,3862,1070,1690,3063,2259,2896,2955,3123,1581,1958,1290,2808,3044,1782,2521,3187,2018,3140,2131,2047,4070,2278,3581,2770,2583,1650,3189,3574,2292,2562,1857,2559,3771,4061,2785,2547,3165,2443,3184,3214,1493,3243,3467,2787,2185,2637,5137,3104,2943,3445,3104,4152,6990,6260,3930,3178,1351,1095,2497,2952,3508,3055,3161,3821,3103,2685,3082,2731,2348
